YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,MONTH,kod,SP_CODE,LNGTH,WGT,lngth_imp,wgt_imp,strat_id,psu_id,common,wgt_unadj,wp_size,l_in_bin,l_cm_bin,VAR_ID,ARX_METHOD,ALT_FLAG,date_published
2010,9,7,5,1166320100327001,4,2,03,we,,,,0,0,20102498703we,116632010032711754,,,2839.9645042,,,20102498703we,,0,05/04/2021
2010,9,7,5,1166320100327002,4,2,03,we,,,,0,0,20102498703we,116632010032711754,,,2627.1194025,,,20102498703we,,0,05/04/2021
2010,9,7,5,1166320100327003,4,2,03,we,,,,0,0,20102498703we,116632010032711754,,,2627.1194025,,,20102498703we,,0,05/04/2021
2010,9,7,5,1166320100327004,4,2,03,we,,,,0,0,20102498703we,116632010032711754,,,2839.9645042,,,20102498703we,,0,05/04/2021
2010,9,7,5,1166320100327005,4,2,03,we,,,,0,0,20102498703we,116632010032711754,,,2839.9645042,,,20102498703we,,0,05/04/2021
2010,9,7,5,1171220100423001,4,2,04,wd,,,,0,0,20102498704wd,11712201004237825,,,1016.7880397,,,20102498704wd,,0,05/04/2021
2010,9,7,5,1171220100423002,4,2,04,wd,,,,0,0,20102498704wd,11712201004237825,,,1016.7880397,,,20102498704wd,,0,05/04/2021
2010,9,7,5,1171220100423003,4,2,04,wd,,,,0,0,20102498704wd,11712201004237825,,,1016.7880397,,,20102498704wd,,0,05/04/2021
2010,9,7,5,1171220100423006,4,2,04,wd,,,,0,0,20102498704wd,11712201004237825,,,1016.7880397,,,20102498704wd,,0,05/04/2021
2010,9,7,5,1171220100423007,4,2,04,wd,,,,0,0,20102498704wd,11712201004237825,,,1016.7880397,,,20102498704wd,,0,05/04/2021
2010,9,7,5,1171220100423008,4,2,04,wd,,,,0,0,20102498704wd,11712201004237825,,,1016.7880397,,,20102498704wd,,0,05/04/2021
2010,9,7,5,1171220100423009,4,2,04,wd,,,,0,0,20102498704wd,11712201004237825,,,1016.7880397,,,20102498704wd,,0,05/04/2021
2010,9,7,5,1171220100423010,4,2,04,wd,,,,0,0,20102498704wd,11712201004237825,,,1016.7880397,,,20102498704wd,,0,05/04/2021
2010,9,7,5,1171220100423015,4,2,04,wd,,,,0,0,20102498704wd,11712201004237825,,,1016.7880397,,,20102498704wd,,0,05/04/2021
2010,9,7,5,2115020100418004,4,2,04,we,8857042001,300,0.5,0,0,20102498704we,21150201004187825,WINTER FLOUNDER,,1548.512768,11,30,20102498704we,,0,05/04/2021
2010,9,7,5,2171220100424002,4,2,04,we,,,,0,0,20102498704we,217122010042411673,,,2313.0469823,,,20102498704we,,0,05/04/2021
2010,25,3,5,1273420100430001,4,2,04,wd,8839010101,425,1.45,0,0,201024258304wd,12734201004301559,TAUTOG,,5580.2965701,16,42,201024258304wd,,0,05/04/2021
2010,25,3,5,1273420100430001,4,2,04,wd,8839010101,405,1.4,0,0,201024258304wd,12734201004301559,TAUTOG,,5580.2965701,15,40,201024258304wd,,0,05/04/2021
2010,25,3,5,1273420100430002,4,2,04,wd,8839010101,379,1.25,0,0,201024258304wd,12734201004301559,TAUTOG,,5580.2965701,14,37,201024258304wd,,0,05/04/2021
2010,25,3,5,1273420100430002,4,2,04,wd,8839010101,471,2,0,0,201024258304wd,12734201004301559,TAUTOG,,5580.2965701,18,47,201024258304wd,,0,05/04/2021
2010,25,3,5,1273420100430002,4,2,04,wd,8839010101,406,1.3,0,0,201024258304wd,12734201004301559,TAUTOG,,5580.2965701,15,40,201024258304wd,,0,05/04/2021
2010,25,3,5,1273420100430002,4,2,04,wd,8839010101,444,1.7,0,0,201024258304wd,12734201004301559,TAUTOG,,5580.2965701,17,44,201024258304wd,,0,05/04/2021
2010,25,3,5,1309620100324001,4,2,03,wd,,,,0,0,201024258303wd,13096201003241704,,,11834.402738,,,201024258303wd,,0,05/04/2021
2010,25,3,5,1309620100324002,4,2,03,wd,,,,0,0,201024258303wd,13096201003241704,,,11834.402738,,,201024258303wd,,0,05/04/2021
2010,25,3,5,1309620100324003,4,2,03,wd,,,,0,0,201024258303wd,13096201003241704,,,11834.402738,,,201024258303wd,,0,05/04/2021
2010,25,3,5,1309620100411001,4,2,04,we,8791030602,305,0.25,1,1,201024258304we,13096201004115470,ATLANTIC TOMCOD,,13878.59579,12,30,201024258304we,,0,05/04/2021
2010,25,3,5,1309620100411001,4,2,04,we,8791030602,210,0.1,1,1,201024258304we,13096201004115470,ATLANTIC TOMCOD,,13878.59579,8,21,201024258304we,,0,05/04/2021
2010,25,3,5,1309620100411001,4,2,04,we,8791030602,190,0.05,1,1,201024258304we,13096201004115470,ATLANTIC TOMCOD,,13878.59579,7,19,201024258304we,,0,05/04/2021
2010,25,3,5,1309620100411002,4,2,04,we,8791030602,215,0.1,0,0,201024258304we,13096201004115470,ATLANTIC TOMCOD,,13878.59579,8,21,201024258304we,,0,05/04/2021
2010,25,3,5,1309620100411002,4,2,04,we,8791030602,240,0.1,0,0,201024258304we,13096201004115470,ATLANTIC TOMCOD,,13878.59579,9,24,201024258304we,,0,05/04/2021
2010,25,3,5,1309620100411002,4,2,04,we,8791030602,215,0.1,0,0,201024258304we,13096201004115470,ATLANTIC TOMCOD,,13878.59579,8,21,201024258304we,,0,05/04/2021
2010,25,3,5,1309620100411002,4,2,04,we,8791030602,190,0.05,0,0,201024258304we,13096201004115470,ATLANTIC TOMCOD,,13878.59579,7,19,201024258304we,,0,05/04/2021
2010,25,3,5,1309620100411002,4,2,04,we,8791030602,200,0.05,0,0,201024258304we,13096201004115470,ATLANTIC TOMCOD,,13878.59579,7,20,201024258304we,,0,05/04/2021
2010,25,3,5,1309620100411003,4,2,04,we,8791030602,210,0.1,0,0,201024258304we,13096201004115470,ATLANTIC TOMCOD,,13878.59579,8,21,201024258304we,,0,05/04/2021
2010,25,3,5,1309620100411003,4,2,04,we,8791030602,190,0.05,0,0,201024258304we,13096201004115470,ATLANTIC TOMCOD,,13878.59579,7,19,201024258304we,,0,05/04/2021
2010,25,3,5,1309620100411003,4,2,04,we,8791030602,305,0.25,0,0,201024258304we,13096201004115470,ATLANTIC TOMCOD,,13878.59579,12,30,201024258304we,,0,05/04/2021
2010,25,4,2,1665120100424001,4,2,04,we,8791030901,740,3.6,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,29,74,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424003,4,2,04,we,8791030402,540,1.7297210485,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,21,54,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424003,4,2,04,we,8791031301,605,2.7,0,0,201024258404we,16651201004241444,HADDOCK,,55.796655952,23,60,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424003,4,2,04,we,8791030901,708,3.1,0,0,201024258404we,16651201004241444,POLLOCK,,55.796655952,27,70,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424003,4,2,04,we,8791031301,595,2.4,0,0,201024258404we,16651201004241444,HADDOCK,,55.796655952,23,59,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424003,4,2,04,we,8791030402,471,1.2093662888,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,18,47,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424003,4,2,04,we,8791031301,533,1.6,0,0,201024258404we,16651201004241444,HADDOCK,,55.796655952,20,53,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424003,4,2,04,we,8791030402,610,2.8,0,0,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,24,61,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424003,4,2,04,we,8791030901,691,3.2,0,0,201024258404we,16651201004241444,POLLOCK,,55.796655952,27,69,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424003,4,2,04,we,8791030402,571,2.0018632476,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,22,57,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424003,4,2,04,we,8791030402,521,1.5749094354,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,20,52,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424003,4,2,04,we,8791030402,556,1.8671136655,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,21,55,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424003,4,2,04,we,8791030901,671,3.7,0,0,201024258404we,16651201004241444,POLLOCK,,55.796655952,26,67,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424003,4,2,04,we,8791030402,653,2.6,0,0,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,25,65,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424004,4,2,04,we,8791030901,636,2.3,0,0,201024258404we,16651201004241444,POLLOCK,,55.796655952,25,63,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424004,4,2,04,we,8791030402,456,1.1111272451,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,17,45,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424005,4,2,04,we,8791030901,655,2.8,0,0,201024258404we,16651201004241444,POLLOCK,,55.796655952,25,65,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424005,4,2,04,we,8791031301,530,1.6,0,0,201024258404we,16651201004241444,HADDOCK,,55.796655952,20,53,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424005,4,2,04,we,8791030901,839,6.3,0,0,201024258404we,16651201004241444,POLLOCK,,55.796655952,33,83,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424005,4,2,04,we,8791031301,596,2.1,0,0,201024258404we,16651201004241444,HADDOCK,,55.796655952,23,59,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424005,4,2,04,we,8791030402,436,0.9880433546,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,17,43,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424005,4,2,04,we,8791031301,600,1.8,0,0,201024258404we,16651201004241444,HADDOCK,,55.796655952,23,60,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424005,4,2,04,we,8791030901,725,3.5,0,0,201024258404we,16651201004241444,POLLOCK,,55.796655952,28,72,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424005,4,2,04,we,8791030402,526,1.6147813023,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,20,52,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424005,4,2,04,we,8791030402,558,1.8847457077,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,21,55,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424005,4,2,04,we,8791031301,641,2.5,0,0,201024258404we,16651201004241444,HADDOCK,,55.796655952,25,64,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030402,400,0.7885077833,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,15,40,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030901,695,3.1,0,0,201024258404we,16651201004241444,POLLOCK,,55.796655952,27,69,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030901,571,1.7,0,0,201024258404we,16651201004241444,POLLOCK,,55.796655952,22,57,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030901,625,2.2,0,0,201024258404we,16651201004241444,POLLOCK,,55.796655952,24,62,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030402,480,1.2707962527,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,18,48,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030402,482,1.2847034974,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,18,48,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030402,502,1.4289668994,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,19,50,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030901,731,4,0,0,201024258404we,16651201004241444,POLLOCK,,55.796655952,28,73,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030402,521,1.5749094354,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,20,52,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030402,490,1.3412715096,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,19,49,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030402,481,1.2777381821,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,18,48,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030901,671,3,0,0,201024258404we,16651201004241444,POLLOCK,,55.796655952,26,67,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030402,483,1.2916922287,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,19,48,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030402,601,2.2890062731,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,23,60,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030402,622,2.9,0,0,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,24,62,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030402,619,2.6,0,0,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,24,61,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424006,4,2,04,we,8791030402,522,1.5828345549,0,1,201024258404we,16651201004241444,ATLANTIC COD,,55.796655952,20,52,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030901,792,4.4,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,31,79,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030402,589,2.1712928147,0,1,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,23,58,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791031301,560,2,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,22,56,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791031301,534,1.7,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,21,53,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030901,656,2.9,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,25,65,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791031301,560,1.7,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,22,56,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791031301,556,1.7,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,21,55,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791031301,604,2,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,23,60,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791031301,543,1.7,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,21,54,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791031301,630,2.5,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,24,63,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791031301,615,2.4,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,24,61,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030901,588,2.2,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,23,58,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791031301,612,2.3,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,24,61,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030901,697,3.3,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,27,69,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791031301,571,2.1,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,22,57,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030901,638,2.6,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,25,63,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030901,662,3.1,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,26,66,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791031301,513,1.3,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,20,51,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030901,655,2.9,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,25,65,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030901,666,2.9,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,26,66,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030901,562,1.6,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,22,56,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030901,608,2.5,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,23,60,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030901,690,3.4,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,27,69,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030901,677,3.5,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,26,67,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030901,689,3.1,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,27,68,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030901,611,2.3,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,24,61,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030402,580,2.0855148366,0,1,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,22,58,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030402,579,2.0761155816,0,1,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,22,57,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030402,530,1.6471234748,0,1,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,20,53,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030402,545,1.7719599728,0,1,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,21,54,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030402,600,2.8,0,0,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,23,60,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424007,4,2,04,we,8791030402,553,1.840857347,0,1,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,21,55,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424008,4,2,04,we,8791030901,676,2.9,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,26,67,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424008,4,2,04,we,8791030901,610,2.3,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,24,61,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424008,4,2,04,we,8791030901,808,4.5,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,31,80,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424008,4,2,04,we,8791031301,720,4.8,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,28,72,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424008,4,2,04,we,8791031301,604,2.4,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,23,60,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424008,4,2,04,we,8791030402,625,2.7,0,0,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,24,62,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424008,4,2,04,we,8791030901,622,1.5,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,24,62,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424008,4,2,04,we,8791030402,630,2.9,0,0,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,24,63,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424008,4,2,04,we,8791030402,624,2.5,0,0,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,24,62,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424009,4,2,04,we,8791030901,645,2.8,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,25,64,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424009,4,2,04,we,8791030402,630,2.2,0,0,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,24,63,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424009,4,2,04,we,8791030402,530,1.6471234748,0,1,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,20,53,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424009,4,2,04,we,8791030402,602,2.2,0,0,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,23,60,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424009,4,2,04,we,8791030901,587,1.9,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,23,58,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424009,4,2,04,we,8791030901,641,2.6,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,25,64,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424009,4,2,04,we,8791031301,675,3.5,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,26,67,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424009,4,2,04,we,8791030901,645,2.8,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,25,64,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424009,4,2,04,we,8791031301,548,1.8,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,21,54,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424009,4,2,04,we,8791030901,692,3,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,27,69,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424009,4,2,04,we,8791030901,680,2.9,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,26,68,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424009,4,2,04,we,8791030901,763,4.5,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,30,76,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424009,4,2,04,we,8791031301,553,1.6,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,21,55,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424010,4,2,04,we,8791030901,675,3.4,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,26,67,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424010,4,2,04,we,8791030901,671,3.2,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,26,67,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424010,4,2,04,we,8791030901,728,3.7,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,28,72,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424010,4,2,04,we,8791030901,711,3.5,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,27,71,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424010,4,2,04,we,8791031301,592,2.5,0,0,201024258404we,16651201004241444,HADDOCK,,56.579619155,23,59,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424010,4,2,04,we,8791030402,711,4,0,0,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,27,71,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424010,4,2,04,we,8791030901,639,2.6,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,25,63,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424010,4,2,04,we,8791030402,610,2.7,0,0,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,24,61,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424010,4,2,04,we,8791030901,628,2.4,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,24,62,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424010,4,2,04,we,8791030901,634,2.4,0,0,201024258404we,16651201004241444,POLLOCK,,56.579619155,24,63,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424010,4,2,04,we,8791030402,455,1.1047601362,0,1,201024258404we,16651201004241444,ATLANTIC COD,,56.579619155,17,45,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424011,4,2,04,we,,,,0,0,201024258404we,16651201004241444,,,55.796655952,,,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424012,4,2,04,we,,,,0,0,201024258404we,16651201004241444,,,55.796655952,,,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424013,4,2,04,we,8791030901,808,4.5,1,1,201024258404we,16651201004241444,POLLOCK,,68.491117925,31,80,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424013,4,2,04,we,8791031301,575,1.988723011,0,1,201024258404we,16651201004241444,HADDOCK,,56.579619155,22,57,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424013,4,2,04,we,8791031301,572,1.9587159487,0,1,201024258404we,16651201004241444,HADDOCK,,56.579619155,22,57,201024258404we,,0,05/04/2021
2010,25,4,2,1665120100424013,4,2,04,we,8791031301,561,1.8512333977,0,1,201024258404we,16651201004241444,HADDOCK,,56.579619155,22,56,201024258404we,,0,05/04/2021
